t_s,gpu_util_%,gpu_mem_mb,power_w,sm_mhz,mem_mhz,temp_c,cpu_total_%,cpu_mainproc_%,disk_read_mbs,disk_write_mbs,ram_used_gb
1.0,18,765,9.02,1177,5486,43,33.3,0.0,2.89,5.49,10.02
2.1,19,769,9.04,1177,5486,43,76.7,553.7,3.66,0.0,10.03
3.1,19,756,9.04,1177,5486,43,73.9,572.8,2.94,1.08,10.03
4.2,19,756,9.10,1177,5486,43,84.4,558.7,3.79,2.19,9.97
5.3,20,756,9.02,1177,5486,44,74.4,590.6,2.53,1.89,9.95
6.3,20,754,9.05,1177,5486,44,69.7,588.0,0.3,0.66,9.94
7.4,33,952,9.41,1177,5486,44,57.6,446.5,101.6,0.13,10.12
8.5,18,952,9.14,1177,5486,44,23.9,1.5,0.78,0.86,10.41
9.5,18,952,9.06,1177,5486,44,28.3,0.0,0.26,0.29,10.47
10.6,18,952,9.03,1177,5486,44,25.2,0.0,0.55,1.29,10.73
11.6,19,952,9.05,1177,5486,44,42.5,0.0,0.68,2.23,10.85
12.7,19,952,9.06,1177,5486,44,55.1,0.0,17.41,6.66,10.96
13.8,19,952,9.08,1177,5486,44,72.0,1.5,2.87,11.77,11.08
14.9,34,1496,9.44,1177,5486,44,71.6,20.1,8.17,10.05,11.37
15.9,86,1616,15.84,1485,5486,46,68.3,103.7,4.12,8.36,11.69
17.0,100,1294,38.32,1605,5486,49,42.2,100.7,19.29,32.35,12.07
18.1,41,3234,15.40,1762,5486,46,32.2,100.7,1.11,0.87,12.16
19.2,19,4166,26.55,1755,5486,46,45.5,97.0,1.85,4.98,12.18
20.3,19,4648,22.58,1755,5486,47,51.1,96.4,4.84,7.51,12.22
21.3,85,4915,20.35,1755,5486,49,42.6,97.3,3.08,9.74,12.23
22.4,18,5359,22.66,1755,5486,47,49.2,95.1,1.01,2.1,12.25
23.4,69,5707,19.24,1755,5486,47,36.9,97.4,0.68,1.15,12.25
24.5,63,5811,21.98,1755,5486,48,40.4,101.0,0.23,0.69,12.26
25.6,30,5948,25.38,1755,5486,49,41.6,114.3,0.9,0.17,12.57
26.6,18,5916,21.47,1755,5486,47,29.3,103.9,1.26,0.01,12.63
27.7,64,5927,15.13,1755,5486,47,48.6,98.1,1.27,3.56,12.68
28.8,18,5895,17.83,1755,5486,47,53.6,97.3,0.96,1.55,12.51
29.9,18,5895,13.55,1177,5486,47,56.9,96.3,4.1,9.71,12.25
30.9,74,5893,10.16,1177,5486,47,56.4,99.1,1.77,6.98,12.14
32.0,18,5793,25.12,1755,5486,48,50.2,119.1,38.21,4.71,12.18
33.0,18,5793,13.86,1755,5486,47,35.7,98.9,0.53,3.82,12.18
34.1,18,5793,12.64,1177,5486,46,43.1,96.6,2.74,5.31,12.18
35.2,63,5733,12.48,1500,5486,47,64.3,94.9,3.21,12.27,12.18
36.2,18,5730,13.87,1755,5486,47,64.7,94.6,4.88,10.38,12.2
37.3,18,5730,13.97,1755,5486,47,45.9,100.7,3.58,8.16,12.19
38.4,88,5435,26.41,1755,5486,49,34.4,98.7,0.34,1.03,12.19
39.4,19,5435,21.38,1755,5486,48,35.2,94.0,0.38,1.71,12.19
40.5,19,5435,23.10,1755,5486,48,32.8,100.2,0.39,0.94,12.21
41.6,19,5321,22.17,1755,5486,48,32.5,98.7,0.08,0.04,12.2
42.6,19,5321,13.93,1755,5486,48,50.4,95.6,0.86,4.49,12.22
43.7,19,4840,11.43,1177,5486,47,50.5,98.0,8.96,7.12,12.23
44.7,100,4828,20.70,1755,5486,51,49.5,98.8,2.26,10.47,12.25
45.8,19,4828,16.73,1755,5486,48,45.9,99.7,4.88,9.74,12.25
46.9,19,4828,10.99,1177,5486,47,46.1,92.4,3.42,8.48,12.24
47.9,18,4766,12.13,1507,5486,47,33.1,100.2,0.57,1.55,12.22
49.0,92,4724,13.22,1507,5486,48,27.5,96.1,0.56,1.1,12.23
50.0,18,4724,14.62,1755,5486,48,28.6,96.0,1.43,3.03,12.23
51.1,18,4724,13.53,1177,5486,47,30.5,96.6,0.07,1.28,12.24
52.1,18,4508,10.33,1252,5486,47,35.8,99.1,0.91,2.15,12.26
53.2,18,4508,9.79,1252,5486,47,27.7,92.3,0.11,0.99,12.24
54.3,18,4508,9.39,1177,5486,47,34.9,90.2,0.67,1.89,12.25
55.3,18,4508,9.30,1177,5486,47,27.9,93.4,0.25,0.14,12.25
56.4,18,4514,12.22,1755,5486,48,33.1,95.2,0.2,0.43,12.22
57.4,34,4666,17.54,1755,5486,47,30.3,97.7,0.38,1.01,12.23
58.5,18,4358,25.73,1755,5486,48,33.9,99.5,0.27,0.55,12.24
59.5,18,4358,13.92,1755,5486,48,47.1,95.4,0.48,4.42,12.28
60.6,20,4365,12.27,1177,5486,47,53.7,89.7,5.76,2.13,12.29
61.7,19,3995,12.90,1755,5486,48,70.6,93.7,47.77,44.35,12.31
62.7,19,4059,13.91,1755,5486,48,36.1,99.2,17.54,26.05,12.3
63.8,99,4375,24.37,1755,5486,50,56.8,96.3,3.86,7.1,12.35
64.8,19,3583,24.47,1755,5486,48,50.5,97.7,4.51,3.77,12.36
65.9,19,3580,9.52,1177,5486,48,66.4,96.7,4.72,12.01,12.36
67.0,52,3818,10.18,1177,5486,47,50.7,95.9,1.86,7.14,12.34
68.0,19,2690,14.03,1755,5486,48,43.7,98.0,3.56,3.55,12.33
69.1,19,2690,14.06,1755,5486,48,26.0,100.9,1.7,5.85,12.32
70.1,19,2690,10.24,1177,5486,47,55.7,94.7,3.56,4.83,12.33
71.2,18,2658,9.36,1177,5486,47,64.2,90.9,2.92,9.37,12.32
72.3,18,2160,14.10,1755,5486,48,55.7,96.2,2.82,8.7,12.32
73.3,18,1942,14.14,1755,5486,48,35.1,98.5,0.8,2.39,12.3
74.4,18,1562,21.89,1755,5486,49,44.2,100.7,2.83,1.91,12.34
75.4,18,1562,14.09,1755,5486,48,46.4,94.3,2.03,6.05,12.34
76.5,18,1562,11.52,1177,5486,48,42.0,94.7,2.5,4.3,12.34
77.6,61,4668,12.87,1560,5486,48,29.0,94.8,0.79,2.18,12.52
78.6,100,5926,24.81,1755,5486,50,42.5,91.1,3.32,2.09,13.08
79.7,100,5926,28.84,1755,5486,50,39.7,77.7,5.73,4.07,13.0
80.8,99,5926,28.41,1755,5486,51,49.3,72.5,4.58,2.81,13.04
81.8,100,5926,22.47,1755,5486,51,62.6,70.8,4.03,7.01,13.03
82.9,100,5926,35.73,1755,5486,51,48.7,67.3,5.78,2.42,13.04
84.0,99,5926,32.61,1755,5486,53,35.0,71.2,4.85,0.79,13.02
85.1,99,5926,28.26,1755,5486,53,40.9,94.7,2.58,1.51,13.01
86.1,100,5926,28.66,1755,5486,52,41.3,86.2,3.07,0.81,13.04
87.2,100,5926,28.39,1755,5486,51,33.1,78.8,2.42,0.75,13.03
88.3,100,5926,29.35,1755,5486,52,39.3,85.0,2.23,0.52,13.03
89.3,100,5926,25.14,1755,5486,52,37.1,70.8,1.76,0.04,13.05
90.4,100,5926,29.25,1755,5486,52,41.3,70.7,6.32,0.65,13.08
91.5,100,5926,29.39,1755,5486,52,47.7,89.0,4.09,0.59,13.06
92.5,100,5926,29.11,1755,5486,53,38.7,72.8,6.51,2.64,13.04
93.6,100,5926,28.42,1755,5486,53,41.2,69.9,3.64,2.65,13.03
94.7,100,5926,28.19,1755,5486,53,30.9,78.1,3.09,0.01,13.04
95.7,99,5926,28.55,1755,5486,53,36.5,85.8,3.45,0.47,13.06
96.8,100,5926,29.34,1755,5486,52,44.8,77.2,7.77,1.34,13.07
97.9,100,5926,29.73,1755,5486,53,65.2,59.1,11.19,5.37,13.07
98.9,99,5926,36.66,1755,5486,53,57.5,73.2,7.93,2.42,13.09
100.0,100,5926,24.32,1755,5486,53,38.6,72.9,2.38,1.61,13.09
101.1,100,5926,29.99,1755,5486,53,35.2,75.8,4.61,3.6,13.07
102.2,99,5926,28.86,1755,5486,54,35.9,75.9,3.27,2.53,13.07
103.2,100,5926,28.14,1755,5486,54,36.3,72.9,3.77,0.84,13.08
104.3,100,5926,28.18,1755,5486,54,35.0,83.2,2.63,0.4,13.07
105.4,98,5926,28.38,1777,5486,54,32.5,86.9,2.0,0.44,13.06
106.4,100,5926,28.87,1777,5486,54,32.3,81.8,4.97,0.13,13.05
107.5,100,5926,28.51,1777,5486,53,31.8,71.4,3.19,0.47,13.06
108.5,100,5926,23.07,1777,5486,53,35.5,72.6,2.54,0.05,13.06
109.6,100,5926,30.21,1777,5486,54,36.6,70.5,8.03,5.14,13.1
110.7,99,5926,29.58,1777,5486,55,51.7,92.1,10.63,11.45,13.12
111.7,96,5926,32.59,1777,5486,55,49.2,71.4,57.14,35.17,13.14
112.8,100,5926,30.60,1777,5486,54,54.5,84.5,42.0,8.9,13.14
113.9,100,5926,27.63,1777,5486,55,44.3,79.7,8.25,2.74,13.16
115.0,100,5926,27.35,1777,5486,54,37.1,86.5,3.26,1.86,13.14
116.0,100,5926,25.92,1777,5486,54,42.4,83.3,2.25,0.57,13.14
117.1,100,5926,29.77,1777,5486,54,37.5,72.8,4.26,0.56,13.14
118.1,100,5932,29.74,1777,5486,54,41.1,70.6,4.7,1.49,13.16
119.2,100,5933,29.68,1777,5486,54,44.4,72.9,2.86,0.09,13.14
120.3,100,5928,28.72,1777,5486,55,40.8,79.0,2.71,0.81,13.14
121.3,99,5928,29.06,1777,5486,55,46.6,71.4,4.23,8.33,13.16
122.4,99,5928,29.45,1777,5486,55,47.6,84.7,7.19,5.78,13.15
123.5,98,5928,37.20,1777,5486,55,38.3,85.8,8.18,6.36,13.18
124.5,100,5928,28.10,1777,5486,55,37.5,84.4,3.91,1.42,13.18
125.6,100,5928,28.75,1777,5486,54,35.7,80.1,3.29,0.75,13.13
126.7,100,5928,29.82,1777,5486,54,39.9,67.3,3.24,0.88,13.13
127.7,100,5928,29.07,1777,5486,55,36.5,68.1,4.73,1.77,13.18
128.8,100,5928,29.44,1777,5486,55,38.0,75.2,3.11,2.1,13.17
129.9,100,5928,29.77,1777,5486,54,35.3,74.2,3.9,0.48,13.16
130.9,100,5928,29.87,1777,5486,55,39.1,95.0,2.13,0.38,13.17
132.0,100,5928,28.56,1777,5486,56,37.4,84.2,2.78,1.86,13.15
133.1,100,5928,28.64,1777,5486,55,34.4,84.3,3.27,0.05,13.13
134.1,99,5936,29.29,1777,5486,55,44.2,82.8,4.89,3.26,13.15
135.2,100,5945,29.81,1777,5486,54,42.5,73.2,2.89,0.82,13.16
136.3,100,5943,29.77,1777,5486,55,39.9,65.0,5.03,1.53,13.17
137.3,100,5936,29.87,1777,5486,55,37.4,75.3,3.26,0.4,13.17
138.4,100,5936,29.89,1777,5486,54,38.8,68.5,3.09,1.05,13.17
139.5,100,5936,29.24,1777,5486,55,33.6,71.6,3.55,0.15,13.16
140.5,100,5936,29.14,1777,5486,56,34.1,72.9,1.9,0.14,13.14
141.6,100,5936,28.54,1777,5486,55,39.3,80.1,1.68,0.52,13.16
142.7,100,5936,28.56,1777,5486,55,30.9,83.2,2.93,1.13,13.16
143.8,100,5936,29.22,1777,5486,54,45.6,76.3,4.49,3.51,13.17
144.8,100,5936,29.78,1777,5486,55,33.5,77.3,3.27,6.67,13.15
145.9,100,5936,29.01,1777,5486,55,37.9,70.9,1.77,0.13,13.16
147.0,100,5936,29.89,1777,5486,54,37.6,82.4,4.26,1.14,13.18
148.0,100,5936,29.92,1777,5486,55,33.4,69.2,1.93,0.01,13.15
149.1,100,5936,29.66,1777,5486,55,32.8,75.6,2.35,2.19,13.17
150.2,98,5936,28.78,1777,5486,56,31.4,70.5,2.47,0.07,13.17
151.2,100,5936,29.01,1777,5486,55,38.3,83.0,4.11,0.27,13.15
152.3,100,5936,29.04,1777,5486,56,35.4,85.9,2.09,0.2,13.12
153.4,100,5936,28.66,1777,5486,56,35.0,78.9,3.6,0.29,13.16
154.4,100,5936,28.61,1777,5486,55,34.6,74.4,5.26,0.48,13.15
155.5,100,5936,29.33,1777,5486,55,38.0,71.1,5.24,2.74,13.14
156.6,100,5936,29.79,1777,5486,55,35.3,70.0,5.23,8.38,13.19
157.6,99,5931,30.04,1777,5486,55,36.4,71.5,2.32,0.05,13.18
158.7,100,5934,29.13,1777,5486,56,37.4,78.7,3.49,0.06,13.19
159.8,100,5945,28.67,1777,5486,56,39.0,72.8,5.55,0.13,13.21
160.8,100,5945,28.71,1777,5486,55,36.9,77.5,3.8,0.62,13.19
161.9,98,5936,28.78,1777,5486,56,38.3,91.6,4.08,0.11,13.18
163.0,100,5936,29.25,1777,5486,56,35.3,95.2,2.77,0.38,13.21
164.0,100,5942,28.85,1777,5486,56,33.1,72.9,1.57,0.29,13.2
165.1,100,5936,29.93,1777,5486,55,35.6,70.1,5.06,9.18,13.2
166.2,100,5945,29.68,1777,5486,56,41.8,73.9,3.46,0.98,13.24
167.2,99,5940,32.78,1777,5486,56,31.9,71.1,2.98,0.5,13.22
168.3,98,5940,28.44,1777,5486,57,32.0,71.6,1.74,1.05,13.23
169.4,99,5940,29.60,1777,5486,55,31.9,71.4,3.05,0.12,13.19
170.5,100,5940,28.97,1777,5486,56,40.6,85.9,1.87,3.6,13.21
