t_s,gpu_util_%,gpu_mem_mb,power_w,sm_mhz,mem_mhz,temp_c,cpu_total_%,cpu_mainproc_%,disk_read_mbs,disk_write_mbs,ram_used_gb
1.0,18,759,9.05,1177,5486,44,37.6,0.0,3.25,0.25,9.93
2.1,18,759,9.05,1177,5486,44,74.6,581.8,13.39,0.11,9.92
3.2,18,750,9.09,1177,5486,44,70.6,587.4,11.45,0.0,9.9
4.2,18,750,9.08,1177,5486,44,70.6,587.2,13.82,0.09,9.9
5.3,18,750,9.10,1177,5486,44,73.8,570.2,6.97,0.02,9.89
6.4,19,750,9.09,1177,5486,45,71.3,596.0,0.03,0.13,9.88
7.4,30,948,9.15,1177,5486,45,55.2,397.6,101.91,0.23,10.02
8.5,19,1004,9.39,1177,5486,45,29.5,14.9,0.29,0.28,10.33
9.6,19,1004,9.14,1177,5486,45,27.1,0.0,0.0,0.01,10.4
10.6,19,1004,9.13,1177,5486,45,36.2,0.0,0.03,0.0,10.63
11.7,19,1004,9.15,1177,5486,45,35.7,0.0,0.03,0.26,10.75
12.7,19,1004,9.11,1177,5486,45,30.0,0.0,0.0,0.02,10.84
13.8,19,1004,9.09,1177,5486,45,32.7,0.0,4.59,0.26,11.01
14.8,19,1264,12.34,1762,5486,46,45.3,76.9,14.03,0.0,11.37
15.9,100,1704,32.54,1762,5486,49,35.2,101.9,8.12,0.0,11.52
17.0,96,1382,35.76,1755,5486,49,27.3,97.4,1.53,0.09,11.84
18.0,18,1806,16.31,1755,5486,48,24.9,100.8,0.3,0.18,11.91
19.1,18,1610,30.83,1755,5486,47,27.3,94.3,1.66,0.09,11.9
20.2,18,2356,15.11,1687,5486,47,25.4,100.0,0.21,0.0,11.94
21.2,100,3346,34.24,1462,5486,51,26.0,98.1,0.0,0.01,11.96
22.3,18,2518,31.20,1755,5486,48,29.0,99.8,0.17,0.02,11.95
23.4,74,3322,16.97,1755,5486,48,30.8,100.4,0.25,0.85,11.86
24.4,100,2930,34.76,1755,5486,50,33.3,100.2,0.07,0.17,11.86
25.5,100,4075,21.12,1755,5486,50,30.1,99.5,0.16,0.12,11.88
26.5,100,3840,32.72,1755,5486,51,34.1,93.9,0.35,0.52,11.87
27.6,18,4122,18.91,1755,5486,48,26.2,100.5,0.61,0.52,11.89
28.7,18,4296,21.21,1755,5486,48,26.3,95.4,1.03,0.35,11.91
29.7,22,4341,20.19,1755,5486,48,30.4,92.8,0.48,0.26,11.95
30.8,19,4404,18.84,1755,5486,49,29.2,97.9,0.07,0.62,11.94
31.8,21,4880,17.12,1755,5486,48,31.1,102.0,0.1,0.48,11.96
32.9,19,4912,21.08,1755,5486,48,27.1,99.8,0.19,0.34,11.95
34.0,82,4941,22.89,1755,5486,50,38.0,98.8,2.77,0.37,11.99
35.1,19,5415,16.95,1755,5486,48,28.8,102.2,9.71,0.0,11.99
36.1,22,5458,23.97,1755,5486,49,35.3,92.0,0.35,0.01,11.98
37.2,55,5474,15.81,1755,5486,49,39.6,97.3,0.78,0.62,11.98
38.3,19,5494,22.80,1755,5486,49,33.4,99.5,0.33,0.47,11.97
39.3,25,5840,16.11,1755,5486,49,32.7,109.5,0.18,0.3,11.98
40.4,29,5874,22.40,1755,5486,50,32.4,98.9,0.0,0.05,11.97
41.4,66,5917,16.01,1755,5486,49,32.6,99.4,0.0,0.42,11.98
42.5,90,5927,21.50,1755,5486,50,38.8,101.9,0.0,0.01,12.0
43.6,19,5927,21.52,1755,5486,49,25.2,103.5,0.22,0.95,12.04
44.7,97,5949,18.71,1755,5486,50,26.8,104.2,0.8,0.0,12.3
45.7,19,5935,15.93,1755,5486,49,27.0,100.3,0.09,0.11,12.46
46.8,98,5953,17.10,1755,5486,50,27.2,98.0,0.14,0.09,12.48
47.8,19,5932,20.08,1755,5486,49,33.8,94.4,0.03,0.05,12.59
48.9,18,5932,14.03,1755,5486,49,25.9,100.3,0.16,0.29,12.6
49.9,100,5932,15.09,1755,5486,50,33.7,142.3,0.0,0.02,12.59
51.0,94,5877,23.03,1755,5486,51,33.2,132.0,0.05,0.0,12.61
52.1,17,5855,20.92,1755,5486,49,25.9,90.7,0.02,0.06,12.61
53.1,17,5855,14.00,1755,5486,49,30.0,93.6,0.0,0.01,12.57
54.2,99,5811,20.08,1755,5486,51,30.6,98.1,0.06,0.02,12.58
55.2,18,5771,20.81,1755,5486,49,31.9,93.4,0.0,0.0,12.58
56.3,18,5768,14.05,1755,5486,49,32.1,100.5,0.13,0.34,12.63
57.4,100,5768,13.31,1755,5486,49,36.9,150.1,0.27,0.23,12.6
58.4,99,5768,22.38,1755,5486,51,37.4,182.4,0.11,0.0,12.6
