t_s,gpu_util_%,gpu_mem_mb,power_w,sm_mhz,mem_mhz,temp_c,cpu_total_%,cpu_mainproc_%,disk_read_mbs,disk_write_mbs,ram_used_gb
1.0,57,5941,17.86,1785,5486,49,39.8,0.0,0.29,0.11,14.28
2.1,18,5936,15.60,1785,5486,48,76.8,458.3,0.14,0.27,14.42
3.1,19,5932,14.10,1177,5486,48,79.7,591.9,0.09,0.1,14.44
4.2,19,5932,9.28,1177,5486,47,80.5,555.9,0.0,0.08,14.43
5.3,90,5868,12.90,1785,5486,49,81.2,567.1,0.0,0.21,14.41
6.4,19,5852,23.36,1785,5486,49,85.2,537.5,0.02,0.11,14.38
7.5,19,5830,14.09,1785,5486,48,80.0,584.8,0.0,0.0,14.45
8.5,29,5970,15.29,1785,5486,48,52.6,306.3,0.37,0.26,14.58
9.6,19,5918,9.46,1177,5486,48,39.1,98.8,0.02,0.21,14.77
10.7,99,5918,13.25,1785,5486,49,41.6,10.2,0.39,0.55,15.03
11.8,90,5898,21.08,1785,5486,51,40.2,0.0,0.29,0.81,15.11
12.8,19,5898,15.73,1785,5486,48,39.5,0.0,1.97,0.0,15.21
13.9,19,5898,13.28,1177,5486,48,37.8,2.9,0.22,1.6,15.48
15.0,100,5928,10.47,1785,5486,48,48.3,0.0,14.48,0.52,15.69
16.0,95,5618,21.39,1785,5486,50,43.4,0.0,2.62,0.56,15.68
17.1,100,5614,24.33,1785,5486,50,55.7,0.0,21.54,0.63,15.87
18.2,18,5698,14.26,1785,5486,49,61.4,97.0,35.32,0.23,15.91
19.3,92,5698,23.56,1785,5486,51,48.8,102.8,13.34,0.66,15.92
20.4,18,5662,23.89,1785,5486,50,39.8,101.9,1.41,0.29,15.9
21.5,24,5590,29.74,1785,5486,51,43.4,98.0,5.97,0.51,15.92
22.5,18,5590,14.24,1785,5486,50,52.9,87.1,31.9,12.21,15.92
23.6,18,5590,12.94,1177,5486,49,44.5,91.3,21.31,7.37,15.94
24.7,97,5642,33.52,1785,5486,51,39.2,99.4,3.75,9.15,15.91
25.7,18,5140,18.93,1785,5486,50,36.9,99.4,0.86,0.48,15.87
26.8,18,5126,20.28,1785,5486,50,44.5,97.6,7.38,0.57,15.87
27.9,19,5126,14.28,1785,5486,50,32.7,100.2,0.1,0.0,15.88
29.0,19,5116,11.62,1177,5486,49,33.1,98.3,0.7,0.07,15.88
30.0,19,5072,12.17,1567,5486,49,38.4,90.7,2.29,0.13,15.9
31.1,52,5056,12.41,1567,5486,49,37.2,93.3,0.14,0.1,15.95
32.2,19,5056,15.33,1785,5486,49,41.9,97.8,0.21,0.12,15.94
33.2,19,5056,12.02,1177,5486,49,39.2,93.4,0.36,0.0,15.97
34.3,19,4862,10.51,1275,5486,49,35.5,97.6,1.2,0.18,15.97
35.4,18,4822,11.09,1650,5486,49,38.5,96.6,42.18,0.49,15.96
36.4,18,4822,12.64,1650,5486,49,31.0,97.7,0.68,0.79,15.97
37.5,18,4854,11.22,1177,5486,48,38.9,91.7,0.58,0.11,15.96
38.6,18,4854,9.30,1177,5486,48,37.7,71.6,1.38,0.29,15.97
39.6,18,4880,11.49,1785,5486,49,47.2,43.4,24.18,0.51,15.02
40.7,18,5012,17.50,1785,5486,50,39.6,92.0,1.53,0.42,15.01
41.8,18,4415,22.22,1785,5486,50,32.5,-1.0,0.62,0.89,13.82
